Kode Cabang,Nama Cabang,RH SUPERVISI BARU,OPSI WILAYAH 1,OPSI WILAYAH 2,
386,SUBANG KCP,-,JAWA,JABAR JATENG JATIM,
030,ASIA AFRIKA BDG - KC,2,JAWA,JABAR JATENG JATIM,
031,BKR  Bandung - KCP,2,JAWA,JABAR JATENG JATIM,
036,RAYA SUDIRMAN BDG -KCP,2,JAWA,JABAR JATENG JATIM,
080,KARTINI - KC,2,JAWA,JABAR JATENG JATIM,
110,PANDANARAN SMG - KC,3,JAWA,JABAR JATENG JATIM,
260,SOLO - KC,3,JAWA,JABAR JATENG JATIM,
052,SURABAYA KARET -KC,3,JAWA,JABAR JATENG JATIM,
055,HR MUHAMMAD SBY - KCP,3,JAWA,JABAR JATENG JATIM,
096,GREENVILLE-KCP,4,JAWA,JABAR JATENG JATIM,
251,CIPANAS-KCP,1,JAWA,JABODETABEKKARCIP,
092,CIKARANG - KC,2,JAWA,JABODETABEKKARCIP,
109,KARAWANG - KCP,2,JAWA,JABODETABEKKARCIP,
026,MG DUA PSR PAGI - KCP,-,JAWA,JABODETABEKKARCIP,
005,ARTHA GADING - KC,1,JAWA,JABODETABEKKARCIP,
006,MANGGA DUA HARCO - KCP,1,JAWA,JABODETABEKKARCIP,
010,SUNTER - KCP,1,JAWA,JABODETABEKKARCIP,
099,PANTAI IND KAPUK - KCP,1,JAWA,JABODETABEKKARCIP,
108,Tzu Chi - KK,1,JAWA,JABODETABEKKARCIP,
022,CINERE - KCP,1,JAWA,JABODETABEKKARCIP,
250,BOGOR-KC,1,JAWA,JABODETABEKKARCIP,
002,SURYOPRANOTO - KC,2,JAWA,JABODETABEKKARCIP,
008,KPO SUDIRMAN,2,JAWA,JABODETABEKKARCIP,
011,TANAH ABANG - KCP,2,JAWA,JABODETABEKKARCIP,
016,BOROBUDUR - KCP,2,JAWA,JABODETABEKKARCIP,
023,MENARA GLOBAL- KCP,2,JAWA,JABODETABEKKARCIP,
028,KWITANG - KCP,1,JAWA,JABODETABEKKARCIP,
029,COKROAMINOTO - KCP,1,JAWA,JABODETABEKKARCIP,
090,MATRAMAN-KC,1,JAWA,JABODETABEKKARCIP,
105,UJUNG MENTENG-KCP,1,JAWA,JABODETABEKKARCIP,
279,WILADATIKA CIBUBUR-KCP,1,JAWA,JABODETABEKKARCIP,
009,MELAWAI - KC,4,JAWA,JABODETABEKKARCIP,
012,BINTARO - KCP,4,JAWA,JABODETABEKKARCIP,
018,BURSA EFEK IND - KCP,4,JAWA,JABODETABEKKARCIP,
270,GADING SERPONG - KCP,4,JAWA,JABODETABEKKARCIP,
003,PURI INDAH - KCP,4,JAWA,JABODETABEKKARCIP,
015,MANGGA BESAR - KCP,4,JAWA,JABODETABEKKARCIP,
020,P. JAYAKARTA - KC,4,JAWA,JABODETABEKKARCIP,
098,KOPI - KCP,4,JAWA,JABODETABEKKARCIP,
273,TAMAN PALEM - KCP,4,JAWA,JABODETABEKKARCIP,
001,BISNIS KPNO,KPNO ,JAWA,JABODETABEKKARCIP,
310,BANJARMASIN - KC,3,"KALIMANTAN",KALIMANTAN,
230,SAMARINDA-KC,3,"KALIMANTAN",KALIMANTAN,
350,BALIKPAPAN - KC,3,"KALIMANTAN",KALIMANTAN,
300,PONTIANAK - KC,4,"KALIMANTAN",KALIMANTAN,
160,BITUNG - KC,-,"SULAWESI",SULAWESI,
120,SAMRATULANGI MAN - KC,3,"SULAWESI",SULAWESI,
130,MAKASSAR - KC,3,"SULAWESI",SULAWESI,
190,KENDARI-KC,3,"SULAWESI",SULAWESI,
060,DIPONEGORO - KC,3,LAINNYA,"BALI,NTT,INDONESIA TIMUR",
061,KUTA  BALI - KCP,3,LAINNYA,"BALI,NTT,INDONESIA TIMUR",
210,KUPANG - KC,3,LAINNYA,"BALI,NTT,INDONESIA TIMUR",
170,DIPONEGORO AMBON - KC,4,LAINNYA,"BALI,NTT,INDONESIA TIMUR",
172,TUAL MALUKU-KCP,4,LAINNYA,"BALI,NTT,INDONESIA TIMUR",
180,TERNATE - KC,4,LAINNYA,"BALI,NTT,INDONESIA TIMUR",
070,PEMUDA  MEDAN - KC,4,SUMATERA,SUMATERA,
071,CEMARA ASRI MDN - KCP,4,SUMATERA,SUMATERA,
220,BATAM - KC,1,SUMATERA,SUMATERA,
281,PEKANBARU - KC,1,SUMATERA,SUMATERA,
330,PANGKAL PINANG - KC,1,SUMATERA,SUMATERA,
200,LAMPUNG-KC,2,SUMATERA,SUMATERA,
282,PALEMBANG-KC,2,SUMATERA,SUMATERA,
320,JAMBI - KC,2,SUMATERA,SUMATERA,
